Centralized aggregator proto(cont).
==> Clients initialization..
===> Building data iterators..
Unique labels in office data: ['back_pack' 'bike' 'calculator' 'headphones' 'keyboard' 'laptop_computer'
 'monitor' 'mouse' 'mug' 'projector']
Unique labels in office data: ['back_pack' 'bike' 'calculator' 'headphones' 'keyboard' 'laptop_computer'
 'monitor' 'mouse' 'mug' 'projector']
===> Initializing clients..
Centralized aggregator used.
In aggregation,py. #clients per round : 3
Global Train Loss: 0.004 | Train Acc: 100.000% |GlobalTest Loss: 0.922 | Test Acc: 73.852% |
Global Train Loss: 0.005 | Train Acc: 100.000% |GlobalTest Loss: 0.922 | Test Acc: 73.852% |
Global Train Loss: 0.004 | Train Acc: 100.000% |GlobalTest Loss: 0.919 | Test Acc: 74.453% |
Global Train Loss: 0.004 | Train Acc: 100.000% |GlobalTest Loss: 0.917 | Test Acc: 75.111% |
Global Train Loss: 0.004 | Train Acc: 100.000% |GlobalTest Loss: 0.920 | Test Acc: 75.420% |
Global Train Loss: 0.004 | Train Acc: 100.000% |GlobalTest Loss: 0.925 | Test Acc: 75.607% |
Global Train Loss: 0.003 | Train Acc: 100.000% |GlobalTest Loss: 0.938 | Test Acc: 75.765% |
Global Train Loss: 0.005 | Train Acc: 100.000% |GlobalTest Loss: 0.953 | Test Acc: 76.025% |
Global Train Loss: 0.004 | Train Acc: 100.000% |GlobalTest Loss: 0.942 | Test Acc: 75.289% |
Global Train Loss: 0.004 | Train Acc: 100.000% |GlobalTest Loss: 0.962 | Test Acc: 75.303% |
Global Train Loss: 0.006 | Train Acc: 100.000% |GlobalTest Loss: 0.964 | Test Acc: 73.346% |
Global Train Loss: 0.008 | Train Acc: 99.525% |GlobalTest Loss: 0.959 | Test Acc: 75.467% |
Global Train Loss: 0.010 | Train Acc: 99.525% |GlobalTest Loss: 0.959 | Test Acc: 75.467% |
Global Train Loss: 0.006 | Train Acc: 100.000% |GlobalTest Loss: 0.955 | Test Acc: 75.843% |
Global Train Loss: 0.009 | Train Acc: 99.525% |GlobalTest Loss: 0.959 | Test Acc: 75.843% |
Global Train Loss: 0.006 | Train Acc: 100.000% |GlobalTest Loss: 0.962 | Test Acc: 75.286% |
Global Train Loss: 0.002 | Train Acc: 100.000% |GlobalTest Loss: 0.963 | Test Acc: 75.129% |
Global Train Loss: 0.003 | Train Acc: 100.000% |GlobalTest Loss: 0.967 | Test Acc: 75.129% |
Global Train Loss: 0.003 | Train Acc: 100.000% |GlobalTest Loss: 0.975 | Test Acc: 74.644% |
Global Train Loss: 0.002 | Train Acc: 100.000% |GlobalTest Loss: 0.969 | Test Acc: 74.882% |
Global Train Loss: 0.002 | Train Acc: 100.000% |GlobalTest Loss: 0.971 | Test Acc: 75.358% |
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.971 | Test Acc: 75.358% |
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.972 | Test Acc: 74.958% |
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.972 | Test Acc: 74.958% |
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.971 | Test Acc: 75.340% |
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.959 | Test Acc: 76.025% |
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.961 | Test Acc: 76.263% |
